# GENERATED by crates/cli/tests/parity.rs (PARITY_REGEN=1 to refresh). DO NOT EDIT.
# route	cli	mcp — `-` is a gap justified in parity_exclusions.tsv.
DELETE /api/annotations/{}	annotation delete	delete_annotation
DELETE /api/authors/{}	author delete	delete_author
DELETE /api/authors/{}/papers/{}	-	-
DELETE /api/feed/rules/{}	feed rules delete	delete_feed_rule
DELETE /api/notes/{}	note delete	delete_note
DELETE /api/papers/sfk/{}/projects	paper remove-from-all-projects	remove_paper_from_all_projects
DELETE /api/papers/{}	paper delete	delete_paper
DELETE /api/papers/{}/tags	tag remove	remove_tags_from_paper
DELETE /api/pdfs/{}	pdf delete	delete_pdf
DELETE /api/projects/{}	project delete	delete_project
DELETE /api/projects/{}/papers/{}	project remove-paper	remove_paper_from_project
DELETE /api/tags/{}	tag delete	delete_tag
DELETE /api/trash/...	trash hard-delete	trash_hard_delete_paper
DELETE /api/trash/projects/{}	trash hard-delete-project	hard_delete_project_from_trash
GET /api/annotations	annotation list	list_annotations
GET /api/authors	author list	list_authors
GET /api/authors/{}	author get	get_author
GET /api/authors/{}/merge-candidates	author merge-candidates	author_merge_candidates
GET /api/categories	categories	list_categories
GET /api/editor/projects	-	-
GET /api/editor/projects/{}/doc	-	-
GET /api/feed	feed get	get_feed
GET /api/feed/rules	feed rules list	list_feed_rules
GET /api/graph	-	-
GET /api/history/actor	-	-
GET /api/history/library	-	-
GET /api/history/library/diff	-	-
GET /api/history/project/{}	-	-
GET /api/history/project/{}/diff	-	-
GET /api/history/share/{}	-	-
GET /api/history/share/{}/diff	-	-
GET /api/notes	note list	get_notes_for_paper,get_notes_for_project,list_notes
GET /api/notes/{}	note get	get_note
GET /api/papers	list	list_papers
GET /api/papers/full-text-pending	paper index-sources	full_text_pending
GET /api/papers/search	paper search	search_full_text
GET /api/papers/sfk/{}	-	-
GET /api/papers/sfk/{}/doi-candidates	paper doi-candidates	find_doi_candidates
GET /api/papers/sfk/{}/versions	paper versions	get_paper_versions
GET /api/papers/{}	paper get	get_paper
GET /api/papers/{}/full-text-diff	-	-
GET /api/papers/{}/pdf-path	pdf path	get_pdf_path
GET /api/pdfs	pdf list	create_note,list_pdfs
GET /api/projects	project list	list_projects
GET /api/projects/{}	project get	get_project
GET /api/projects/{}/export/bibtex	project export-bibtex	export_project_bibtex
GET /api/projects/{}/export/obsidian	project export-obsidian	export_project_obsidian
GET /api/reading-status	-	-
GET /api/search/history	-	-
GET /api/search/state	-	-
GET /api/settings	settings get	get_settings
GET /api/share/member_code	-	-
GET /api/share/projects	-	-
GET /api/share/received	-	-
GET /api/share/received/{}	-	-
GET /api/share/{}/members	-	-
GET /api/share/{}/presence	-	-
GET /api/share/{}/settings	-	-
GET /api/stats	stats	get_stats
GET /api/storage/pre-migration-backups	-	-
GET /api/tags	tag list-all	list_all_tags
GET /api/tags/{}	-	-
GET /api/trash	trash list	list_trash
GET /api/versions/new	versions new	list_new_versions
PATCH /api/annotations/{}	annotation update	update_annotation
PATCH /api/authors/{}	author update	update_author
PATCH /api/env	-	-
PATCH /api/notes/{}	note update	update_note
PATCH /api/projects/{}	project archive,project update	archive_project,update_project
PATCH /api/settings	settings update	update_setting
POST /api/annotations	annotation create	create_annotation
POST /api/arxiv/fetch	fetch	fetch_paper
POST /api/arxiv/search	search	search_papers
POST /api/authors/{}/merge	author merge	merge_authors
POST /api/authors/{}/papers/{}	-	-
POST /api/crossref/search	-	-
POST /api/doi/resolve	doi resolve	resolve_doi
POST /api/doi/save	doi save	save_doi
POST /api/editor/projects	-	-
POST /api/editor/vault/{}/fs	-	-
POST /api/feed/dismiss	feed dismiss	dismiss_feed_entry
POST /api/feed/rules	feed rules add	create_feed_rule
POST /api/history/library/restore	-	-
POST /api/history/project/{}/restore	-	-
POST /api/notes	note create	create_note
POST /api/openalex/save	-	-
POST /api/openalex/search	-	-
POST /api/orcid/backfill	orcid backfill	orcid_backfill
POST /api/papers/import/bibtex	bibtex import	import_bibtex
POST /api/papers/import/pdf	pdf import	import_pdf
POST /api/papers/import/pdf-url	pdf download	download_pdf
POST /api/papers/import/recognize	-	-
POST /api/papers/saved	-	-
POST /api/papers/sfk/{}/merge	paper merge	merge_papers
POST /api/papers/{}/full-text	paper fetch-source	fetch_full_text
POST /api/papers/{}/tags	tag add	add_tags_to_paper
POST /api/projects	project create	create_project
POST /api/projects/import/commit	project import	import_project
POST /api/projects/import/preview	-	-
POST /api/projects/{}/export	project export	export_project
POST /api/projects/{}/papers	project add-paper	add_paper_to_project
POST /api/projects/{}/papers/bulk	project add-papers	add_papers_to_project
POST /api/search/state	-	-
POST /api/share/join	-	-
POST /api/share/presence	-	-
POST /api/share/project/{}/publish	-	-
POST /api/share/project/{}/publish_secure	-	-
POST /api/share/project/{}/ticket	-	-
POST /api/share/received/{}/import	-	-
POST /api/share/received/{}/leave	-	-
POST /api/share/received/{}/unlink	-	-
POST /api/share/relay/reconnect	-	-
POST /api/share/{}/invite	-	-
POST /api/share/{}/member/{}/remove	-	-
POST /api/share/{}/member/{}/role	-	-
POST /api/share/{}/pdf	-	-
